================================================================================
  MATRIZ DE PERMISOS POR ROL
================================================================================

PERMISO                                        ADMIN            CLIENTE          OBSERVADOR       OPERADOR         USUARIO_NO_REGISTRADO  USUARIO_REGISTRADO
--------------------------------------------------------------------------------

ADMIN:
  add_logentry                                 ✗                ✗                ✗                ✗                ✗                ✗              
  change_logentry                              ✗                ✗                ✗                ✗                ✗                ✗              
  delete_logentry                              ✗                ✗                ✗                ✗                ✗                ✗              
  view_logentry                                ✗                ✗                ✗                ✗                ✗                ✗              

AUTENTICACION:
  add_perfilusuario                            ✗                ✗                ✗                ✗                ✗                ✗              
  change_perfilusuario                         ✗                ✗                ✗                ✗                ✗                ✗              
  delete_perfilusuario                         ✗                ✗                ✗                ✗                ✗                ✗              
  view_perfilusuario                           ✗                ✗                ✗                ✗                ✗                ✗              

AUTH:
  add_group                                    ✗                ✗                ✗                ✗                ✗                ✗              
  add_permission                               ✗                ✗                ✗                ✗                ✗                ✗              
  change_group                                 ✗                ✗                ✗                ✗                ✗                ✗              
  change_permission                            ✗                ✗                ✗                ✗                ✗                ✗              
  delete_group                                 ✗                ✗                ✗                ✗                ✗                ✗              
  delete_permission                            ✗                ✗                ✗                ✗                ✗                ✗              
  view_group                                   ✗                ✗                ✗                ✗                ✗                ✗              
  view_permission                              ✗                ✗                ✗                ✗                ✗                ✗              

BANCO:
  add_bancouser                                ✗                ✗                ✗                ✗                ✗                ✗              
  add_cuenta                                   ✗                ✗                ✗                ✗                ✗                ✗              
  add_entidadbancaria                          ✗                ✗                ✗                ✗                ✗                ✗              
  add_pagotarjeta                              ✗                ✗                ✗                ✗                ✗                ✗              
  add_tarjetacredito                           ✗                ✗                ✗                ✗                ✗                ✗              
  add_tarjetadebito                            ✗                ✗                ✗                ✗                ✗                ✗              
  add_transferencia                            ✗                ✗                ✗                ✗                ✗                ✗              
  change_bancouser                             ✗                ✗                ✗                ✗                ✗                ✗              
  change_cuenta                                ✗                ✗                ✗                ✗                ✗                ✗              
  change_entidadbancaria                       ✗                ✗                ✗                ✗                ✗                ✗              
  change_pagotarjeta                           ✗                ✗                ✗                ✗                ✗                ✗              
  change_tarjetacredito                        ✗                ✗                ✗                ✗                ✗                ✗              
  change_tarjetadebito                         ✗                ✗                ✗                ✗                ✗                ✗              
  change_transferencia                         ✗                ✗                ✗                ✗                ✗                ✗              
  delete_bancouser                             ✗                ✗                ✗                ✗                ✗                ✗              
  delete_cuenta                                ✗                ✗                ✗                ✗                ✗                ✗              
  delete_entidadbancaria                       ✗                ✗                ✗                ✗                ✗                ✗              
  delete_pagotarjeta                           ✗                ✗                ✗                ✗                ✗                ✗              
  delete_tarjetacredito                        ✗                ✗                ✗                ✗                ✗                ✗              
  delete_tarjetadebito                         ✗                ✗                ✗                ✗                ✗                ✗              
  delete_transferencia                         ✗                ✗                ✗                ✗                ✗                ✗              
  view_bancouser                               ✗                ✗                ✗                ✗                ✗                ✗              
  view_cuenta                                  ✗                ✗                ✗                ✗                ✗                ✗              
  view_entidadbancaria                         ✗                ✗                ✗                ✗                ✗                ✗              
  view_pagotarjeta                             ✗                ✗                ✗                ✗                ✗                ✗              
